id,participant,dream
1,1,did_recall
2,2,did_recall
3,3,did_recall
4,4,did_recall
5,5,did_recall
6,6,did_recall
7,7,did_recall
8,8,did_recall
9,9,did_recall
10,10,did_recall
11,11,did_recall
12,12,did_recall
13,13,did_recall
14,14,did_recall
15,15,did_recall
16,16,did_recall
17,17,did_recall
18,18,did_recall
19,19,did_recall
20,20,did_recall
21,21,did_recall
22,22,did_recall
23,23,did_recall
24,24,did_recall
25,25,did_recall
26,26,did_recall
27,27,did_recall
28,28,did_recall
29,29,did_recall
30,30,did_recall
31,31,did_recall
32,32,did_recall
33,33,did_recall
34,34,did_recall
35,35,did_recall
36,36,did_recall
37,37,did_recall
38,38,did_recall
39,39,did_recall
40,40,did_recall
41,41,did_recall
42,42,did_recall
43,43,did_recall
44,44,did_recall
45,45,did_recall
46,46,did_recall
47,47,did_recall
48,48,did_recall
49,49,did_recall
50,50,did_recall
51,51,did_recall
52,52,did_recall
53,53,did_recall
54,54,did_recall
55,55,did_recall
56,56,did_recall
57,57,did_recall
58,58,did_recall
59,59,not_recall
60,60,not_recall
61,61,not_recall
62,62,not_recall
63,63,not_recall
64,64,not_recall
65,65,not_recall
66,66,not_recall
67,67,not_recall
68,68,not_recall
69,69,not_recall
70,70,not_recall
71,71,unsure
72,72,unsure
73,73,unsure
74,74,unsure
75,75,unsure
76,76,unsure
77,77,unsure
78,78,unsure
79,79,unsure
80,80,unsure
